tweet_id,favorite_count,retweet_count,date_time
731285275100512256,3735,1076,2016-05-14 00:49:30
732005617171337216,16021,6010,2016-05-16 00:31:53
732375214819057664,8675,2767,2016-05-17 01:00:32
732585889486888962,3951,849,2016-05-17 14:57:41
732726085725589504,3791,973,2016-05-18 00:14:46
732732193018155009,2615,588,2016-05-18 00:39:02
733109485275860992,45608,17439,2016-05-19 01:38:16
733460102733135873,4515,1412,2016-05-20 00:51:30
733482008106668032,3372,1043,2016-05-20 02:18:32
733822306246479872,3943,1111,2016-05-21 00:50:46
733828123016450049,3862,858,2016-05-21 01:13:53
734776360183431168,2689,595,2016-05-23 16:01:50
734787690684657664,13487,6939,2016-05-23 16:46:51
734912297295085568,2934,566,2016-05-24 01:02:00
735137028879360001,3357,1065,2016-05-24 15:55:00
735256018284875776,3602,971,2016-05-24 23:47:49
735274964362878976,13982,5606,2016-05-25 01:03:06
735635087207878657,6657,2600,2016-05-26 00:54:06
735648611367784448,4310,1205,2016-05-26 01:47:51
735991953473572864,3868,1264,2016-05-27 00:32:10
736010884653420544,8497,3270,2016-05-27 01:47:23
736225175608430592,8727,3048,2016-05-27 15:58:54
736365877722001409,4298,1373,2016-05-28 01:18:00
736736130620620800,4637,1924,2016-05-29 01:49:16
737310737551491075,15767,8163,2016-05-30 15:52:33
737322739594330112,3877,885,2016-05-30 16:40:14
737445876994609152,11096,4930,2016-05-31 00:49:32
737678689543020544,5422,1473,2016-05-31 16:14:39
737800304142471168,10739,3818,2016-06-01 00:17:54
737826014890496000,5653,1955,2016-06-01 02:00:04
738156290900254721,2715,731,2016-06-01 23:52:28
738166403467907072,9457,3754,2016-06-02 00:32:39
738184450748633089,4648,1333,2016-06-02 01:44:22
738402415918125056,3523,937,2016-06-02 16:10:29
738537504001953792,5476,1720,2016-06-03 01:07:16
738883359779196928,3599,895,2016-06-04 00:01:35
738885046782832640,4048,1255,2016-06-04 00:08:17
739238157791694849,73700,51178,2016-06-04 23:31:25
739485634323156992,7757,3244,2016-06-05 15:54:48
739544079319588864,42843,23704,2016-06-05 19:47:03
739606147276148736,5806,1832,2016-06-05 23:53:41
739844404073074688,4071,936,2016-06-06 15:40:26
739932936087216128,4365,1188,2016-06-06 21:32:13
739979191639244800,21461,6541,2016-06-07 00:36:02
740214038584557568,7198,2170,2016-06-07 16:09:13
740359016048689152,3554,945,2016-06-08 01:45:19
740365076218183684,2670,483,2016-06-08 02:09:24
740373189193256964,37313,14694,2016-06-08 02:41:38
740676976021798912,19520,7518,2016-06-08 22:48:46
740699697422163968,3055,861,2016-06-09 00:19:04
740711788199743490,3673,1032,2016-06-09 01:07:06
740995100998766593,6904,3067,2016-06-09 19:52:53
741067306818797568,10163,3423,2016-06-10 00:39:48
741303864243200000,9457,3563,2016-06-10 16:19:48
741438259667034112,3951,920,2016-06-11 01:13:51
741743634094141440,8790,3054,2016-06-11 21:27:17
741793263812808706,4893,1666,2016-06-12 00:44:30
742150209887731712,5554,1732,2016-06-13 00:22:53
742161199639494656,4676,1514,2016-06-13 01:06:33
742385895052087300,7320,2205,2016-06-13 15:59:24
742423170473463808,10628,4211,2016-06-13 18:27:32
742465774154047488,7806,4285,2016-06-13 21:16:49
742528092657332225,4789,2196,2016-06-14 01:24:27
743210557239623680,4130,1507,2016-06-15 22:36:19
743222593470234624,6672,2106,2016-06-15 23:24:09
743253157753532416,4546,1333,2016-06-16 01:25:36
743510151680958465,8511,4079,2016-06-16 18:26:48
743545585370791937,3791,1041,2016-06-16 20:47:36
743595368194129920,19908,7263,2016-06-17 00:05:25
743609206067040256,4830,1520,2016-06-17 01:00:24
743895849529389061,3925,1058,2016-06-17 19:59:26
743980027717509120,4472,1204,2016-06-18 01:33:55
744234799360020481,128833,77768,2016-06-18 18:26:18
744334592493166593,7277,2372,2016-06-19 01:02:50
744709971296780288,6031,1722,2016-06-20 01:54:27
744971049620602880,8490,2965,2016-06-20 19:11:53
744995568523612160,3223,696,2016-06-20 20:49:19
745057283344719872,7802,2530,2016-06-21 00:54:33
745314880350101504,7715,3063,2016-06-21 17:58:09
745422732645535745,9246,2702,2016-06-22 01:06:43
745433870967832576,7667,2813,2016-06-22 01:50:58
745712589599014916,7521,2577,2016-06-22 20:18:30
745789745784041472,4361,1179,2016-06-23 01:25:06
746056683365994496,3829,909,2016-06-23 19:05:49
746131877086527488,7434,2443,2016-06-24 00:04:36
746369468511756288,6521,1820,2016-06-24 15:48:42
746507379341139972,5009,1199,2016-06-25 00:56:43
746726898085036033,6522,1988,2016-06-25 15:29:00
746790600704425984,5259,1767,2016-06-25 19:42:08
746818907684614144,5711,1901,2016-06-25 21:34:37
746872823977771008,6465,2375,2016-06-26 01:08:52
746906459439529985,3114,329,2016-06-26 03:22:31
747103485104099331,10367,4441,2016-06-26 16:25:26
747204161125646336,3662,1015,2016-06-26 23:05:29
747219827526344708,5700,1745,2016-06-27 00:07:44
747461612269887489,4180,1149,2016-06-27 16:08:30
747512671126323200,6015,1753,2016-06-27 19:31:23
747594051852075008,3979,1174,2016-06-28 00:54:46
747600769478692864,2510,604,2016-06-28 01:21:27
747816857231626240,5250,1288,2016-06-28 15:40:07
747844099428986880,3032,826,2016-06-28 17:28:22
747885874273214464,3187,1094,2016-06-28 20:14:22
747933425676525569,7172,2830,2016-06-28 23:23:19
747963614829678593,6269,2394,2016-06-29 01:23:16
748307329658011649,3970,795,2016-06-30 00:09:04
748324050481647620,4009,849,2016-06-30 01:15:31
748346686624440324,5642,1378,2016-06-30 02:45:28
748568946752774144,2369,750,2016-06-30 17:28:39
748575535303884801,6571,2211,2016-06-30 17:54:50
748692773788876800,4584,1472,2016-07-01 01:40:41
748699167502000129,5120,1775,2016-07-01 02:06:06
748705597323898880,2993,1046,2016-07-01 02:31:39
748932637671223296,6340,2503,2016-07-01 17:33:49
748977405889503236,11632,3798,2016-07-01 20:31:43
749036806121881602,3352,873,2016-07-02 00:27:45
749064354620928000,5195,1680,2016-07-02 02:17:13
749317047558017024,5949,2457,2016-07-02 19:01:20
749395845976588288,9318,3854,2016-07-03 00:14:27
749403093750648834,2839,609,2016-07-03 00:43:15
749417653287129088,6611,1859,2016-07-03 01:41:06
749774190421639168,5037,1458,2016-07-04 01:17:51
749981277374128128,5533,2720,2016-07-04 15:00:45
749996283729883136,3276,892,2016-07-04 16:00:22
750011400160841729,3510,1011,2016-07-04 17:00:26
750026558547456000,2935,873,2016-07-04 18:00:41
750041628174217216,3441,686,2016-07-04 19:00:33
750056684286914561,3386,990,2016-07-04 20:00:23
750071704093859840,8492,3718,2016-07-04 21:00:04
750086836815486976,2350,606,2016-07-04 22:00:12
750101899009982464,3298,935,2016-07-04 23:00:03
750117059602808832,4671,1439,2016-07-05 00:00:18
750132105863102464,3927,1403,2016-07-05 01:00:05
750147208377409536,3347,1073,2016-07-05 02:00:06
750383411068534784,4918,1272,2016-07-05 17:38:41
750429297815552001,14298,4813,2016-07-05 20:41:01
750506206503038976,4828,1281,2016-07-06 01:46:38
750719632563142656,14336,5606,2016-07-06 15:54:42
750868782890057730,5198,1553,2016-07-07 01:47:22
751132876104687617,5521,1452,2016-07-07 19:16:47
751205363882532864,6835,2035,2016-07-08 00:04:50
751251247299190784,13559,6538,2016-07-08 03:07:09
751456908746354688,3473,1101,2016-07-08 16:44:23
751538714308972544,5456,1407,2016-07-08 22:09:27
751583847268179968,4788,1241,2016-07-09 01:08:47
751598357617971201,8559,3364,2016-07-09 02:06:27
751830394383790080,6301,2170,2016-07-09 17:28:29
751937170840121344,5667,1496,2016-07-10 00:32:46
752173152931807232,6458,2055,2016-07-10 16:10:29
752309394570878976,0,18571,2016-07-11 01:11:51
752334515931054080,4145,1233,2016-07-11 02:51:40
752519690950500352,7999,3826,2016-07-11 15:07:30
752660715232722944,4790,1751,2016-07-12 00:27:52
752682090207055872,6530,1792,2016-07-12 01:52:49
752917284578922496,7452,1746,2016-07-12 17:27:23
753026973505581056,4221,1086,2016-07-13 00:43:15
753294487569522689,3695,1160,2016-07-13 18:26:16
753375668877008896,8261,2593,2016-07-13 23:48:51
753398408988139520,6282,2136,2016-07-14 01:19:12
753420520834629632,8590,3983,2016-07-14 02:47:04
753655901052166144,6346,2429,2016-07-14 18:22:23
754011816964026368,9555,4014,2016-07-15 17:56:40
754120377874386944,8512,2598,2016-07-16 01:08:03
754449512966619136,4082,820,2016-07-16 22:55:55
754482103782404096,5757,2163,2016-07-17 01:05:25
754747087846248448,2799,583,2016-07-17 18:38:22
754856583969079297,7460,2806,2016-07-18 01:53:28
754874841593970688,0,8950,2016-07-18 03:06:01
755110668769038337,23011,12343,2016-07-18 18:43:07
755206590534418437,17878,6000,2016-07-19 01:04:16
755955933503782912,7954,3209,2016-07-21 02:41:54
756275833623502848,6996,1706,2016-07-21 23:53:04
756288534030475264,45483,19361,2016-07-22 00:43:32
756303284449767430,4289,1202,2016-07-22 01:42:09
756526248105566208,11312,4055,2016-07-22 16:28:07
756651752796094464,5512,1476,2016-07-23 00:46:50
756939218950160384,7220,2237,2016-07-23 19:49:07
756998049151549440,6810,2219,2016-07-23 23:42:53
757354760399941633,4915,1587,2016-07-24 23:20:20
757393109802180609,6340,1950,2016-07-25 01:52:43
757400162377592832,16463,7597,2016-07-25 02:20:45
757596066325864448,4736,1181,2016-07-25 15:19:12
757597904299253760,0,324,2016-07-25 15:26:30
757611664640446465,4948,1244,2016-07-25 16:21:11
757725642876129280,4939,1364,2016-07-25 23:54:05
757729163776290825,0,9083,2016-07-26 00:08:05
757741869644341248,7480,3622,2016-07-26 00:58:34
758041019896193024,2948,423,2016-07-26 20:47:17
758355060040593408,3725,1209,2016-07-27 17:35:10
758405701903519748,5657,2144,2016-07-27 20:56:24
758467244762497024,5224,2484,2016-07-28 01:00:57
758474966123810816,4146,1106,2016-07-28 01:31:38
758740312047005698,6229,1782,2016-07-28 19:06:01
758828659922702336,12162,4275,2016-07-29 00:57:05
758854675097526272,3855,996,2016-07-29 02:40:28
759047813560868866,7090,2254,2016-07-29 15:27:55
759099523532779520,15801,4688,2016-07-29 18:53:24
759159934323924993,0,1312,2016-07-29 22:53:27
759197388317847553,6597,2170,2016-07-30 01:22:17
759447681597108224,9257,2745,2016-07-30 17:56:51
759557299618865152,5107,1314,2016-07-31 01:12:26
759566828574212096,0,23704,2016-07-31 01:50:18
759793422261743616,6496,2130,2016-07-31 16:50:42
759846353224826880,7301,2216,2016-07-31 20:21:02
759923798737051648,15978,6355,2016-08-01 01:28:46
760190180481531904,6210,2024,2016-08-01 19:07:17
760252756032651264,4278,968,2016-08-01 23:15:56
